anchor,layer,window,alpha,component,final_kl_mean,final_kl_lo,final_kl_hi,flip_rate,dnll_mean,dnll_lo,dnll_hi,n
mid,6,3,0.5,resid,0.0010136671342275397,-8.568711553635921e-08,0.00660684286849573,0.0,0.06863520244757335,-7.910169661045057e-05,0.1967109378427267,60
mid,6,3,0.75,resid,0.001896376531125778,-1.5673230358004273e-08,0.01004506682511418,0.0,0.264590597897768,-0.0002562396228313445,0.913454142212867,60
mid,6,3,1.0,resid,0.0013343745247010653,-6.02507853386669e-08,0.009830273257102805,0.0,0.28740633428096773,-0.00110064297914505,0.97582681775093,60
mid,6,5,0.25,resid,0.00044489076327793866,-8.573856735694108e-08,0.0024449773540254674,0.0,0.00397029717763265,-0.002629080042243004,0.022232539951801293,60
mid,6,5,0.5,resid,0.001180149900373669,-7.81126496818274e-08,0.010243769851513197,0.0,0.11733736495176951,0.0013012297451496127,0.33690280988812443,60
mid,6,5,0.75,resid,0.002864816828432426,-9.058334740075225e-08,0.012180548906326277,0.0,0.44012684797247253,0.0021753631532192234,1.2848820626735677,60
mid,6,5,1.0,resid,0.003099278020246506,-6.251986821581567e-08,0.017502386332489527,0.0,0.4751045197248459,0.005066117644309998,1.368682077527045,60
mid,12,1,0.25,resid,0.00025909900340036115,-1.223806659567117e-07,0.0018813362956279888,0.0,0.0007517906526724497,-0.0028587982058525087,0.0063226670026779105,60
mid,12,1,0.5,resid,0.00034810396756876914,-9.640968876567512e-08,0.001987751093111001,0.0,0.009957564622163772,-0.00277806855738163,0.0381143495440483,60
mid,12,1,0.75,resid,0.000265885816344887,-6.667936531812301e-08,0.002490582020254805,0.0,0.07491688082615534,9.729266166687018e-05,0.22862800881266576,60
